# GenomeVersion=C_elegans_May_2008, TotalTreatObs=4186549, TotalCtrlObs=1836221
Name,Chr,Strand,Start,Stop,pVal [10*Log10(p)] ,Bonferroni  pvalue [10*Log10(p)] ,Storey's qValFDR [10*Log10(q)] ,Fold Change (WT+1)/(K39A+1),WT actual antisense reads,WT normalized antisense read count,K39A antisense reads,WT mean read length,K39A mean read length,Input,Suggested Match,History
F37F2.3,chrI,+,1446667,1465341,-5.3,0.0,0.0,1.9,2,5,2,20.0,21.0,F37F2.3,WBGene00001773,Sequence name for WBGene00001773(gst-25). History: N.A.
K08E3.8,chrIII,+,13773336,13778776,-5.2,0.0,-10.3,1.2,6,14,11,20.0,21.0,K08E3.8,WBGene00007025,Sequence name for WBGene00007025(mdt-29). History: N.A.
W09H1.4,chrII,+,13185005,13185506,-5.2,0.0,-10.3,1.2,6,14,11,20.0,21.0,W09H1.4,WBGene00012374,Public name for WBGene00012374. History: N.A.
T21E3.1,chrI,+,3932212,3934792,-5.2,0.0,-10.3,1.0,15,34,33,21.0,22.0,T21E3.1,WBGene00020652,Sequence name for WBGene00020652(egg-4). History: N.A.
M162.8,chrV,-,19771470,19772564,-5.2,0.0,0.0,3.3,1,2,0,18.0,,M162.8,WBGene00010934,Sequence name for WBGene00010934(fbxa-118). History: Split into fbxa-194(WBGene00044655). History of WBGene00010934: N.A.
Y116A8C.40,chrIV,-,17144310,17150926,-5.2,0.0,0.0,3.3,1,2,0,19.0,,Y116A8C.40,WBGene00013812,Public name for WBGene00013812. History: N.A.
K04G11.5,chrX,-,14353230,14358986,-5.2,0.0,0.0,3.3,1,2,0,19.0,,K04G11.5,WBGene00002151,Sequence name for WBGene00002151(irk-3). History: N.A.
R04F11.5,chrV,-,12317320,12317997,-5.2,0.0,0.0,3.3,1,2,0,18.0,,R04F11.5,WBGene00011017,Public name for WBGene00011017. History: N.A.
C27A7.6,chrV,-,12125130,12127315,-5.2,0.0,0.0,3.3,1,2,0,20.0,,C27A7.6,WBGene00007757,Public name for WBGene00007757. History: N.A.
F54F7.7,chrX,-,11867894,11869283,-5.2,0.0,0.0,3.3,1,2,0,19.0,,F54F7.7,WBGene00010067,Sequence name for WBGene00010067(dot-1.2). History: N.A.
B0035.15,chrIV,-,11296961,11298220,-5.2,0.0,0.0,3.3,1,2,0,19.0,,B0035.15,WBGene00007113,Public name for WBGene00007113. History: N.A.
C08F8.6,chrIV,-,11162757,11164259,-5.2,0.0,0.0,3.3,1,2,0,19.0,,C08F8.6,WBGene00007448,Public name for WBGene00007448. History: N.A.
T05E11.4,chrIV,-,11123106,11124818,-5.2,0.0,0.0,3.3,1,2,0,20.0,,T05E11.4,WBGene00004985,Sequence name for WBGene00004985(spo-11). History: N.A.
R11A8.8,chrIV,-,10372638,10374565,-5.2,0.0,0.0,3.3,1,2,0,21.0,,R11A8.8,WBGene00011241,Sequence name for WBGene00011241(mpz-5). History: N.A.
M116.5,chrIV,-,8414275,8420990,-5.2,0.0,0.0,3.3,1,2,0,18.0,,M116.5,WBGene00019792,Public name for WBGene00019792. History: N.A.
ZK686.4,chrIII,-,7769143,7769894,-5.2,0.0,0.0,3.3,1,2,0,18.0,,ZK686.4,WBGene00022794,"Sequence name for WBGene00022794(snu-23). History: Split into ZK686.6(WBGene00044799). History of WBGene00022794: Split into ""WBGene00044799"" on 2006-04-21"
F13G3.6,chrI,-,7303343,7304685,-5.2,0.0,0.0,3.3,1,2,0,21.0,,F13G3.6,WBGene00008766,Public name for WBGene00008766. History: N.A.
T20H4.5,chrIII,-,7232855,7234131,-5.2,0.0,0.0,3.3,1,2,0,19.0,,T20H4.5,WBGene00020636,Public name for WBGene00020636. History: N.A.
ZK418.5,chrIII,-,7072659,7073776,-5.2,0.0,0.0,3.3,1,2,0,19.0,,ZK418.5,WBGene00022734,Public name for WBGene00022734. History: N.A.
C15F1.4,chrII,-,6965796,6967587,-5.2,0.0,0.0,3.3,1,2,0,19.0,,C15F1.4,WBGene00004090,Sequence name for WBGene00004090(eif-2Bgamma). History: Renamed on 2018-07-02
Y73B6A.3,chrIV,-,6738751,6740266,-5.2,0.0,0.0,3.3,1,2,0,22.0,,Y73B6A.3,WBGene00022230,Public name for WBGene00022230. History: N.A.
F18C5.4,chrII,-,6563783,6565103,-5.2,0.0,0.0,3.3,1,2,0,22.0,,F18C5.4,WBGene00017559,Sequence name for WBGene00017559(mpz-3). History: N.A.
T10E9.8,chrI,-,6539948,6541056,-5.2,0.0,0.0,3.3,1,2,0,18.0,,T10E9.8,WBGene00020418,Public name for WBGene00020418. History: N.A.
K10C2.1,chrX,-,6420993,6430567,-5.2,0.0,0.0,3.3,1,2,0,19.0,,K10C2.1,WBGene00019617,Sequence name for WBGene00019617(ctsa-2). History: N.A.
EEED8.14,chrII,-,5412195,5413987,-5.2,0.0,0.0,3.3,1,2,0,22.0,,EEED8.14,WBGene00017142,Public name for WBGene00017142. History: N.A.
C01G8.6,chrI,-,5298781,5300334,-5.2,0.0,0.0,3.3,1,2,0,21.0,,C01G8.6,WBGene00015313,Sequence name for WBGene00015313(hpo-32). History: N.A.
H28G03.4,chrX,-,5222376,5224465,-5.2,0.0,0.0,3.3,1,2,0,21.0,,H28G03.4,,Sequence name for Suppressed gene WBGene00019252. Molecular name for Suppressed gene WBGene00019252. Public name for Suppressed gene WBGene00019252. History of WBGene00019252: Killed on 2008-09-11; Suppressed on 2012-11-14. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
C27F2.6,chrIII,-,4979759,4980381,-5.2,0.0,0.0,3.3,1,2,0,19.0,,C27F2.6,WBGene00016168,Public name for WBGene00016168. History: N.A.
T08B6.2,chrIV,-,4894362,4896819,-5.2,0.0,0.0,3.3,1,2,0,22.0,,T08B6.2,WBGene00020352,Public name for WBGene00020352. History: N.A.
B0285.3,chrIII,-,4341957,4343307,-5.2,0.0,0.0,3.3,1,2,0,19.0,,B0285.3,WBGene00007136,Public name for WBGene00007136. History: N.A.
C35B1.5,chrIV,-,4083587,4084208,-5.2,0.0,0.0,3.3,1,2,0,18.0,,C35B1.5,WBGene00016435,Public name for WBGene00016435. History: N.A.
Y47G6A.24b,chrI,-,3604523,3605759,-5.2,0.0,0.0,3.3,1,2,0,19.0,,Y47G6A.24b,WBGene00021648,Molecule name for WBGene00021648(mis-12). History: N.A.
B0047.4,chrII,-,2045964,2046657,-5.2,0.0,0.0,3.3,1,2,0,19.0,,B0047.4,WBGene00015015,Sequence name for WBGene00015015(math-1). History: N.A.
Y102A11A.6,chrX,-,2032031,2035240,-5.2,0.0,0.0,3.3,1,2,0,19.0,,Y102A11A.6,WBGene00022416,Sequence name for WBGene00022416(ergi-1). History: N.A.
C08E3.9,chrII,-,1616916,1619008,-5.2,0.0,0.0,3.3,1,2,0,18.0,,C08E3.9,WBGene00015601,Sequence name for WBGene00015601(fbxa-166). History: N.A.
F55A4.4,chrX,-,1024644,1026174,-5.2,0.0,0.0,3.3,1,2,0,23.0,,F55A4.4,WBGene00018856,Public name for WBGene00018856. History: N.A.
Y55B1BR.6,chrIII,-,459579,463717,-5.2,0.0,0.0,3.3,1,2,0,18.0,,Y55B1BR.6,WBGene00044401,Public name for WBGene00044401. History: N.A.
K01A2.8c,chrII,-,309481,312209,-5.2,0.0,0.0,3.3,1,2,0,22.0,,K01A2.8c,WBGene00019282,Molecule name for WBGene00019282(mps-2). History: N.A.
F20C5.2b,chrIV,-,8755046,8762039,-5.1,0.0,-7.8,1.2,17,39,32,19.0,20.0,,,
C10C6.1,chrIV,+,11436617,11447020,-5.1,0.0,-10.2,1.1,8,18,16,20.0,22.0,C10C6.1,WBGene00002192,Sequence name for WBGene00002192(kin-4). History: N.A.
C49C8.1,chrIV,+,8654586,8656788,-5.1,0.0,-10.2,1.1,8,18,16,21.0,22.0,C49C8.1,WBGene00016765,Public name for WBGene00016765. History: N.A.
F11A10.1a,chrIV,+,12079443,12084325,-5.0,0.0,-10.1,1.1,10,23,21,21.0,21.0,F11A10.1a,WBGene00008682,Molecule name for WBGene00008682(lex-1). History: N.A.
F59A6.5,chrII,+,4999510,5003779,-5.0,0.0,-10.1,1.0,20,46,46,20.0,21.0,F59A6.5,WBGene00019087,Public name for WBGene00019087. History: N.A.
F25H2.6,chrI,+,10554355,10557824,-4.9,0.0,-10.1,1.2,5,11,9,21.0,21.0,F25H2.6,WBGene00009120,Public name for WBGene00009120. History: N.A.
T28H11.4,chrIV,+,5002742,5005337,-4.9,0.0,-10.1,1.2,5,11,9,21.0,20.0,T28H11.4,WBGene00003976,Sequence name for WBGene00003976(pes-1). History: N.A.
Y75B8A.33,chrIII,-,12361739,12367253,-4.8,0.0,-7.5,1.2,12,27,22,20.0,21.0,Y75B8A.33,WBGene00013563,Public name for WBGene00013563. History: N.A.
Y53F4B.5,chrII,-,14982495,14983912,-4.8,0.0,-7.5,1.1,26,59,52,19.0,21.0,Y53F4B.5,WBGene00013152,Public name for WBGene00013152. History: N.A.
K08E3.6,chrIII,-,13768422,13771122,-4.8,0.0,-7.5,1.2,11,25,20,20.0,22.0,K08E3.6,WBGene00000875,Sequence name for WBGene00000875(cyk-4). History: N.A.
Y71F9B.7.1,chrI,-,2755625,2758205,-4.8,0.0,-7.5,1.2,11,25,20,21.0,21.0,Y71F9B.7.1,WBGene00004043,Molecule name for WBGene00004043(plk-2). History: N.A.
B0041.2c,chrI,+,4655348,4660143,-4.7,0.0,-9.9,1.0,15,34,34,21.0,21.0,B0041.2c,WBGene00015007,Molecule name for WBGene00015007(ain-2). History: N.A.
Y18D10A.1,chrI,-,12787957,12806570,-4.7,0.0,-7.5,1.3,10,23,18,19.0,21.0,Y18D10A.1,WBGene00012474,Sequence name for WBGene00012474(attf-6). History: N.A.
F52B11.1a,chrIV,+,14077408,14083526,-4.6,0.0,-9.9,1.3,4,9,7,20.0,21.0,F52B11.1a,WBGene00009924,Molecule name for WBGene00009924(cfp-1). History: N.A.
K11H3.4,chrIII,+,9832833,9838209,-4.6,0.0,-9.9,1.3,4,9,7,20.0,21.0,K11H3.4,WBGene00010781,"Public name for WBGene00010781. History: Split into K11H3.8(WBGene00185002). History of WBGene00010781: Split into ""WBGene00185002"" on 2009-02-11"
F02A9.6,chrIII,+,9092152,9099594,-4.6,0.0,-9.9,1.3,4,9,7,20.0,21.0,F02A9.6,WBGene00001609,Sequence name for WBGene00001609(glp-1). History: N.A.
T21B10.7,chrII,+,8927657,8929735,-4.6,0.0,-9.9,1.3,4,9,7,21.0,21.0,T21B10.7,WBGene00000378,"Sequence name for WBGene00000378(cct-2). History: N.A.. Public name for Dead gene WBGene00011889. History of WBGene00011889: Merged into ""WBGene00000378"" on 2007-10-09"
F56D1.1,chrII,+,5478551,5480270,-4.6,0.0,-9.9,1.3,4,9,7,20.0,21.0,F56D1.1,WBGene00018959,Public name for WBGene00018959. History: N.A.
F58H7.5,chrIV,+,919990,920808,-4.6,0.0,-9.9,1.3,4,9,7,20.0,21.0,F58H7.5,WBGene00019070,Public name for WBGene00019070. History: N.A.
F53G12.3,chrI,+,137845,144565,-4.6,0.0,-9.9,1.3,4,9,7,21.0,20.0,F53G12.3,WBGene00018771,Sequence name for WBGene00018771(duox-2). History: N.A.
C30C11.4,chrIII,-,8443832,8446828,-4.6,0.0,-7.5,1.3,8,18,14,20.0,22.0,C30C11.4,WBGene00016250,Sequence name for WBGene00016250(hsp-110). History: N.A.
F01F1.9,chrIII,-,5861809,5863498,-4.6,0.0,-7.5,1.3,8,18,14,19.0,20.0,F01F1.9,WBGene00017163,Sequence name for WBGene00017163(dnpp-1). History: N.A.
T04A8.14,chrIII,-,4715257,4720629,-4.6,0.0,-7.5,1.3,8,18,14,20.0,21.0,T04A8.14,WBGene00001259,Sequence name for WBGene00001259(emb-5). History: N.A.
T12E12.2,chrIV,+,5544847,5548436,-4.6,0.0,-9.8,1.0,18,41,42,19.0,22.0,T12E12.2,WBGene00020463,Sequence name for WBGene00020463(cec-6). History: N.A.
R05G6.7,chrIV,-,7506409,7507881,-4.5,0.0,-7.5,1.3,7,16,12,20.0,20.0,R05G6.7,WBGene00019900,Sequence name for WBGene00019900(vdac-1). History: N.A.
C05D11.11a,chrIII,-,6440087,6442942,-4.5,0.0,-7.5,1.3,7,16,12,21.0,21.0,C05D11.11a,WBGene00003214,Molecule name for WBGene00003214(mel-32). History: N.A.
ZK262.8,chrV,+,18438347,18440161,-4.5,0.0,-9.8,1.1,6,14,12,20.0,21.0,ZK262.8,WBGene00013953,Public name for WBGene00013953. History: N.A.
Y48E1B.12,chrII,+,13596862,13597912,-4.5,0.0,-9.8,1.1,6,14,12,21.0,22.0,Y48E1B.12,WBGene00000804,Sequence name for WBGene00000804(csc-1). History: N.A.
Y76A2B.3,chrIII,-,13540021,13543414,-4.5,0.0,-7.5,1.3,6,14,10,19.0,20.0,Y76A2B.3,WBGene00013575,Sequence name for WBGene00013575(acs-5). History: N.A.
Y47D3A.27,chrIII,-,11312142,11316937,-4.5,0.0,-7.5,1.3,6,14,10,21.0,22.0,Y47D3A.27,WBGene00006563,Sequence name for WBGene00006563(teg-1). History: N.A.
T22B11.5,chrIV,-,4696908,4704002,-4.5,0.0,-7.5,1.3,6,14,10,20.0,21.0,T22B11.5,WBGene00020679,Sequence name for WBGene00020679(ogdh-1). History: N.A.
C01G10.8,chrV,-,15084035,15085362,-4.5,0.0,0.0,1.9,2,5,2,19.0,22.0,C01G10.8,WBGene00007235,Sequence name for WBGene00007235(ahsa-1). History: N.A.
T16A9.5,chrV,-,14213570,14215068,-4.5,0.0,0.0,1.9,2,5,2,20.0,23.0,T16A9.5,WBGene00011795,Public name for WBGene00011795. History: N.A.
F45H10.3,chrII,-,13493090,13494511,-4.5,0.0,0.0,1.9,2,5,2,20.0,22.0,F45H10.3,WBGene00009740,Public name for WBGene00009740. History: N.A.
Y37D8A.13,chrIII,-,12880921,12891618,-4.5,0.0,0.0,1.9,2,5,2,22.0,20.0,Y37D8A.13,WBGene00006804,"Sequence name for WBGene00006804(unc-71). History: Split into Y37D8A.29(WBGene00303086). History of WBGene00006804: Split into ""WBGene00303086"" on 2018-03-02"
H28O16.2,chrI,-,12647369,12652076,-4.5,0.0,0.0,1.9,2,5,2,22.0,19.0,H28O16.2,WBGene00010420,Sequence name for WBGene00010420(mcrs-1). History: N.A.
R05D7.1,chrI,-,12162387,12163523,-4.5,0.0,0.0,1.9,2,5,2,20.0,21.0,R05D7.1,WBGene00011026,Public name for WBGene00011026. History: N.A.
F17C11.8,chrV,-,10958905,10960896,-4.5,0.0,0.0,1.9,2,5,2,22.0,21.0,F17C11.8,WBGene00008919,Sequence name for WBGene00008919(vps-36). History: N.A.
R166.3,chrII,-,10537721,10539254,-4.5,0.0,0.0,1.9,2,5,2,22.0,21.0,R166.3,WBGene00011303,Public name for WBGene00011303. History: N.A.
R11A8.4,chrIV,-,10363293,10366209,-4.5,0.0,0.0,1.9,2,5,2,19.0,21.0,R11A8.4,WBGene00004800,Sequence name for WBGene00004800(sir-2.1). History: N.A.
F52H3.2,chrII,-,10030819,10033138,-4.5,0.0,0.0,1.9,2,5,2,21.0,24.0,F52H3.2,WBGene00009944,Sequence name for WBGene00009944(mtcu-2). History: N.A.
F25H8.3,chrIV,-,9935039,9945747,-4.5,0.0,0.0,1.9,2,5,2,20.0,20.0,F25H8.3,WBGene00001650,Sequence name for WBGene00001650(gon-1). History: N.A.
K07F5.9,chrIV,-,9850624,9851043,-4.5,0.0,0.0,1.9,2,5,2,22.0,23.0,K07F5.9,WBGene00006039,Sequence name for WBGene00006039(ssp-10). History: N.A.
F25H5.5,chrI,-,9159934,9163253,-4.5,0.0,0.0,1.9,2,5,2,20.0,21.0,F25H5.5,WBGene00009127,Sequence name for WBGene00009127(clsp-1). History: N.A.
F21F8.11,chrV,-,8282591,8284864,-4.5,0.0,0.0,1.9,2,5,2,19.0,20.0,F21F8.11,WBGene00017681,Sequence name for WBGene00017681(slc-17.5). History: N.A.
F43E2.4,chrII,-,7353524,7356364,-4.5,0.0,0.0,1.9,2,5,2,22.0,20.0,F43E2.4,WBGene00001812,Sequence name for WBGene00001812(haf-2). History: N.A.
C05C8.5,chrV,-,7232658,7234808,-4.5,0.0,0.0,1.9,2,5,2,22.0,21.0,C05C8.5,WBGene00015462,Public name for WBGene00015462. History: N.A.
H06O01.1,chrI,-,7015907,7020799,-4.5,0.0,0.0,1.9,2,5,2,21.0,22.0,H06O01.1,WBGene00003964,Sequence name for WBGene00003964(pdi-3). History: N.A.
Y73B6BL.33,chrIV,-,6373156,6376506,-4.5,0.0,0.0,1.9,2,5,2,20.0,22.0,Y73B6BL.33,WBGene00022253,Sequence name for WBGene00022253(hrpf-2). History: N.A.
B0244.9,chrIII,-,5730070,5730961,-4.5,0.0,0.0,1.9,2,5,2,20.0,22.0,B0244.9,WBGene00015084,Public name for WBGene00015084. History: N.A.
Y61A9LA.9,chrV,-,4573119,4573910,-4.5,0.0,0.0,1.9,2,5,2,18.0,19.0,Y61A9LA.9,WBGene00022020,Sequence name for WBGene00022020(hpo-39). History: N.A.
C43E11.9.2,chrI,-,4267206,4267970,-4.5,0.0,0.0,1.9,2,5,2,22.0,20.0,,,
C15C7.5,chrX,-,3151137,3152453,-4.5,0.0,0.0,1.9,2,5,2,18.0,20.0,C15C7.5,WBGene00015791,Sequence name for WBGene00015791(bbln-1). History: Renamed on 2021-01-02
Y38F2AR.12b,chrIV,-,2399558,2412408,-4.5,0.0,0.0,1.9,2,5,2,18.0,20.0,Y38F2AR.12b,WBGene00021430,Molecule name for WBGene00021430(Y38F2AR.12). History: N.A.
Y77E11A.11,chrIV,-,1435474,1446026,-4.5,0.0,0.0,1.9,2,5,2,20.0,21.0,Y77E11A.11,WBGene00000547,Sequence name for WBGene00000547(clp-7). History: N.A.
F46F5.5,chrII,-,812147,813714,-4.5,0.0,0.0,1.9,2,5,2,19.0,21.0,F46F5.5,WBGene00018496,Public name for WBGene00018496. History: N.A.
F56D12.4c.1,chrII,+,1327001,1350142,-4.5,0.0,-9.8,1.0,12,27,27,22.0,22.0,F56D12.4c.1,WBGene00002176,Molecule name for WBGene00002176(jip-1). History: N.A.
T05E11.3,chrIV,+,11119315,11123125,-4.5,0.0,-9.7,1.0,10,23,22,21.0,22.0,T05E11.3,WBGene00011480,Sequence name for WBGene00011480(enpl-1). History: N.A.
ZK856.13,chrV,-,10206589,10210315,-4.4,0.0,-7.5,1.4,5,11,8,20.0,21.0,ZK856.13,WBGene00014114,Sequence name for WBGene00014114(tftc-3). History: Renamed on 2012-07-04
T16G12.7,chrIII,-,10038437,10039983,-4.4,0.0,-7.5,1.4,5,11,8,20.0,22.0,T16G12.7,WBGene00011808,Public name for WBGene00011808. History: N.A.
Y110A7A.17b,chrI,-,5123919,5127205,-4.4,0.0,-7.5,1.4,5,11,8,20.0,20.0,Y110A7A.17b,WBGene00003132,Molecule name for WBGene00003132(mat-1). History: Renamed on 2015-03-03
Y41E3.4,chrIV,-,15008465,15013143,-4.4,0.0,-7.5,1.4,4,9,6,20.0,21.0,Y41E3.4,WBGene00001336,Sequence name for WBGene00001336(qars-1). History: Renamed on 2010-01-29
C13B4.1b.1,chrII,-,14470279,14479530,-4.4,0.0,-7.5,1.4,4,9,6,20.0,22.0,C13B4.1b.1,WBGene00007545,Molecule name for WBGene00007545(C13B4.1). History: N.A.
C28C12.10,chrIV,-,8503475,8510467,-4.4,0.0,-7.5,1.4,4,9,6,21.0,22.0,C28C12.10,WBGene00006450,Sequence name for WBGene00006450(tag-77). History: N.A.
C08C3.3,chrIII,-,7776835,7783382,-4.4,0.0,-7.5,1.4,4,9,6,20.0,21.0,C08C3.3,WBGene00003102,Sequence name for WBGene00003102(mab-5). History: N.A.
F57C9.7,chrI,-,4825170,4826634,-4.4,0.0,-7.5,1.4,4,9,6,21.0,21.0,F57C9.7,WBGene00019013,Sequence name for WBGene00019013(tofu-4). History: N.A.
Y55F3AM.10,chrIV,-,1027811,1030024,-4.4,0.0,-7.5,1.4,4,9,6,19.0,19.0,Y55F3AM.10,WBGene00021927,Sequence name for WBGene00021927(abhd-14). History: N.A.
Y39B6A.16,chrV,-,19099121,19101073,-4.4,0.0,0.0,1.6,3,7,4,19.0,21.0,Y39B6A.16,WBGene00012678,Sequence name for WBGene00012678(zhp-4). History: N.A.
T06E6.1,chrV,-,15393095,15394932,-4.4,0.0,0.0,1.6,3,7,4,19.0,21.0,T06E6.1,WBGene00011538,Public name for WBGene00011538. History: N.A.
K05C4.1,chrI,-,14719154,14720466,-4.4,0.0,0.0,1.6,3,7,4,20.0,21.0,K05C4.1,WBGene00003951,Sequence name for WBGene00003951(pbs-5). History: N.A.
C15H11.9,chrV,-,14423772,14424989,-4.4,0.0,0.0,1.6,3,7,4,21.0,22.0,C15H11.9,WBGene00007617,Sequence name for WBGene00007617(rrbs-1). History: N.A.
F58G11.5,chrV,-,13675970,13678580,-4.4,0.0,0.0,1.6,3,7,4,22.0,21.0,F58G11.5,WBGene00006442,Sequence name for WBGene00006442(tag-65). History: N.A.
F53F4.11.2,chrV,-,13622110,13624508,-4.4,0.0,0.0,1.6,3,7,4,20.0,23.0,,,
F32A11.3,chrII,-,13151368,13153295,-4.4,0.0,0.0,1.6,3,7,4,20.0,20.0,F32A11.3,WBGene00009308,Public name for WBGene00009308. History: Renamed on 2014-09-24
B0001.3a,chrIV,-,12143417,12145700,-4.4,0.0,0.0,1.6,3,7,4,19.0,20.0,B0001.3a,WBGene00007088,Molecule name for WBGene00007088(B0001.3). History: N.A.
B0035.12,chrIV,-,11329436,11332914,-4.4,0.0,0.0,1.6,3,7,4,20.0,22.0,B0035.12,WBGene00007111,Sequence name for WBGene00007111(sart-3). History: N.A.
C46A5.9,chrIV,-,7770738,7774253,-4.4,0.0,0.0,1.6,3,7,4,19.0,21.0,C46A5.9,WBGene00001827,Sequence name for WBGene00001827(hcf-1). History: N.A.
F32E10.6,chrIV,-,7578491,7580253,-4.4,0.0,0.0,1.6,3,7,4,21.0,21.0,F32E10.6,WBGene00017993,Sequence name for WBGene00017993(cec-5). History: N.A.
T10B11.8,chrI,-,6951906,6954230,-4.4,0.0,0.0,1.6,3,7,4,20.0,21.0,T10B11.8,WBGene00020404,Public name for WBGene00020404. History: N.A.
C24H12.6,chrII,-,417348,418881,-4.4,0.0,0.0,1.6,3,7,4,20.0,21.0,C24H12.6,WBGene00016075,Public name for WBGene00016075. History: N.A.
T03F1.9,chrI,-,3862777,3865940,-4.3,0.0,-7.4,1.2,12,27,23,21.0,21.0,T03F1.9,WBGene00001832,Sequence name for WBGene00001832(hcp-4). History: Renamed on 2015-03-05
Y20C6A.2,chrV,+,17377391,17379195,-4.3,0.0,0.0,1.3,3,7,5,21.0,20.0,Y20C6A.2,WBGene00012492,Sequence name for WBGene00012492(fbxb-7). History: N.A.
F28F8.2,chrV,+,15567369,15569864,-4.3,0.0,0.0,1.3,3,7,5,18.0,20.0,F28F8.2,WBGene00009221,Sequence name for WBGene00009221(acs-2). History: N.A.
T28A8.6,chrIII,+,13499084,13501386,-4.3,0.0,0.0,1.3,3,7,5,21.0,20.0,T28A8.6,WBGene00012112,Public name for WBGene00012112. History: N.A.
C39E9.13,chrIV,+,13095730,13096969,-4.3,0.0,0.0,1.3,3,7,5,21.0,22.0,C39E9.13,WBGene00004339,Sequence name for WBGene00004339(rfc-3). History: N.A.
ZK512.8,chrIII,+,9145958,9147262,-4.3,0.0,0.0,1.3,3,7,5,19.0,20.0,ZK512.8,WBGene00013987,Public name for WBGene00013987. History: N.A.
K02D10.1c,chrIII,+,8769417,8776047,-4.3,0.0,0.0,1.3,3,7,5,22.0,22.0,K02D10.1c,WBGene00019301,Molecule name for WBGene00019301(K02D10.1). History: N.A.
R05D11.7,chrI,+,8601351,8601999,-4.3,0.0,0.0,1.3,3,7,5,19.0,22.0,R05D11.7,WBGene00011035,Sequence name for WBGene00011035(snrp-27). History: N.A.
F09C12.8,chrII,+,5112742,5114109,-4.3,0.0,0.0,1.3,3,7,5,20.0,21.0,F09C12.8,WBGene00017279,Public name for WBGene00017279. History: N.A.
C26E6.6,chrIII,+,4935541,4937168,-4.3,0.0,0.0,1.3,3,7,5,21.0,22.0,C26E6.6,WBGene00016142,Sequence name for WBGene00016142(mrps-18C). History: N.A.
F25F2.1a,chrIII,+,4508829,4512094,-4.3,0.0,0.0,1.3,3,7,5,20.0,20.0,F25F2.1a,WBGene00009115,Molecule name for WBGene00009115(F25F2.1). History: N.A.
Y23H5A.3,chrI,+,2620660,2621855,-4.3,0.0,0.0,1.3,3,7,5,20.0,21.0,Y23H5A.3,WBGene00021270,Sequence name for WBGene00021270(pid-3). History: Renamed on 2019-11-21
Y66H1A.4,chrIV,+,425972,427204,-4.3,0.0,0.0,1.3,3,7,5,22.0,21.0,Y66H1A.4,WBGene00022046,Sequence name for WBGene00022046(garr-1). History: N.A.
T07A9.11,chrIV,+,385887,386609,-4.3,0.0,0.0,1.3,3,7,5,20.0,21.0,T07A9.11,WBGene00004493,Sequence name for WBGene00004493(rps-24). History: N.A.
D2045.6,chrIII,+,10471123,10475486,-4.2,0.0,-9.5,1.0,11,25,25,20.0,21.0,D2045.6,WBGene00000836,Sequence name for WBGene00000836(cul-1). History: N.A.
B0564.7,chrIV,+,13100683,13104609,-4.2,0.0,-9.5,1.1,5,11,10,20.0,22.0,B0564.7,WBGene00007207,"Sequence name for WBGene00007207(fask-1). History: Split into rde-11(WBGene00023421). History of WBGene00007207: Split into ""WBGene00023421"" on 2004-07-07"
F02E9.7,chrI,+,8413253,8416122,-4.2,0.0,-9.5,1.1,5,11,10,20.0,22.0,F02E9.7,WBGene00008531,Public name for WBGene00008531. History: N.A.
ZK652.6b,chrIII,+,7829336,7832420,-4.2,0.0,-9.5,1.1,5,11,10,20.0,21.0,ZK652.6b,WBGene00022785,Molecule name for WBGene00022785(kcmf-1). History: N.A.
C34F11.5,chrII,+,5195886,5199213,-4.2,0.0,-9.5,1.1,5,11,10,20.0,22.0,C34F11.5,WBGene00016416,Public name for WBGene00016416. History: N.A.
Y47G6A.7b,chrI,+,3502740,3508426,-4.2,0.0,-9.5,1.1,5,11,10,19.0,21.0,Y47G6A.7b,WBGene00021637,Molecule name for WBGene00021637(Y47G6A.7). History: N.A.
H24K24.4,chrV,+,904965,911008,-4.2,0.0,-9.5,1.1,5,11,10,20.0,21.0,H24K24.4,WBGene00019241,Sequence name for WBGene00019241(trm-2A). History: N.A.
ZK520.4b,chrIII,+,13687079,13692468,-4.2,0.0,-9.5,1.1,7,16,15,21.0,21.0,ZK520.4b,WBGene00000837,Molecule name for WBGene00000837(cul-2). History: Renamed on 2013-05-02
F41H10.10,chrIV,-,5390348,5391546,-4.0,0.0,-7.1,1.2,9,21,17,20.0,22.0,F41H10.10,WBGene00002032,Sequence name for WBGene00002032(htp-1). History: N.A.
Y20F4.4,chrI,-,2034385,2043813,-4.0,0.0,-7.1,1.1,14,32,28,19.0,20.0,Y20F4.4,WBGene00021239,Public name for WBGene00021239. History: N.A.
F25G6.1,chrV,+,8570288,8581722,-4.0,0.0,-9.4,1.0,10,23,23,20.0,22.0,F25G6.1,WBGene00017796,Public name for WBGene00017796. History: N.A.
D2096.8,chrIV,-,8377688,8379301,-4.0,0.0,-7.1,1.2,8,18,15,21.0,20.0,D2096.8,WBGene00017075,Sequence name for WBGene00017075(nap-1). History: Renamed on 2013-01-09
Y113G7B.16,chrV,+,20265496,20271121,-3.9,0.0,0.0,1.4,2,5,3,20.0,21.0,Y113G7B.16,WBGene00013765,Sequence name for WBGene00013765(cdkr-3). History: N.A.
