cosmid,gene,fL3mSUM,eL3mSUM,fL4mSUM,eL4mSUM,fADmSUM,eADmSUM,description,KOG,Mountain,fL4s660,eL4s408,FC,fL4s1165,eL4s377,FC.1,fADs1711,eADs2131,FC.2,fADs226,eADs271,FC.3,fADs547,eADs598,FC.4,fL4m1857,eL4m1318,FC.5,fL4m3713,eL4m3494,FC.6,fADm2498,eADm2449,FC.7,fADm2040,eADm2527,FC.8,fADm981,eADm599,FC.9,fADm631,eADm765,FC.10,Input,Suggested Match,History
F32D1.1,figl-1,315,89,266,361,711,826,"F32D1.1 encodes an homolog of human SPASTIN (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=604277"">OMIM:604277</a>, mutated in spastic paraplegia), FIDGETIN (OMIM:605295, mutated in fidget mice), and FIDGETIN-LIKE-1, and of Drosophila SPASTIN; recombinant F32D1.1 protein has N-ethylmaleimide-sensitive ATPase activity in vitro, which is strongly dependent on the C368 residue immediately C-terminal to its Walker A motif; F32D1.1 is required for persistence of the germline in RNAi assays. ",AAA+-type ATPase ,Mountain 18,230,18,7.67,399,7,16.81,394,6,70.08,54,1,32.49,113,1,62.04,106,60,1.25,160,301,0.5,310,318,0.96,239,303,0.98,114,61,1.15,48,144,0.41,F32D1.1,WBGene00017981,Sequence name for WBGene00017981(figl-1). History: N.A.
K01C8.5,gei-14,23,11,113,194,475,1120,gei-14 encodes a novel protein that interacts with GEX-3 in yeast two-hybrid assays. ,,Mountain 7,35,5,3.79,61,1,10.42,136,8,18.91,13,0,16.54,33,0,37.0,13,26,0.37,100,168,0.56,190,462,0.4,138,479,0.36,90,75,0.74,57,104,0.67,K01C8.5,WBGene00001571,Sequence name for WBGene00001571(gei-14). History: N.A.
W07B3.2d,gei-4,1370,370,635,541,1328,833,"gei-4 encodes a protein with a coiled-coil domain (predicted to mediate protein-protein interactions), an internal repeat of 69 residues (covering residues 134-202, 203-265, and 266-328 of W07B3.2a), and a glutamine/asparagine-rich domain; GEI-4 is paralogous to Y50D7A.8 and Y59C2A.3, physically interacts with GEX-2, and is required for embryonic viability, fertility, and vulval morphogenesis; GEI-4 is claimed to have weak homology to trichohyalin, a mammalian intermediate filament interacting protein; the similarity of the mutant phenotypes of gei-4, gex-2 and gex-3 and their interaction sugggest that the GEX-2/GEX-3/GEI-4 protein complex is essential for the regulation of intermediate filaments during rearrangement of the cytoskeleton that occurs in embryogenesis; GFI-2, an ankyrin-repeat protein associates with GEI-4 and exhibits a similar mutant phenotype, suggesting that gfi-2 is also involved in intermediate filament dynamics. ",Unnamed protein ,,29,1,9.47,47,3,4.03,70,12,6.78,16,1,10.04,18,1,10.34,319,119,1.9,316,422,0.71,564,287,1.92,488,274,2.2,204,103,1.22,72,169,0.52,W07B3.2d,WBGene00001561,Molecule name for WBGene00001561(gei-4). History: N.A.
M163.4,gfi-3,25,9,49,37,98,103,"gfi-3 is also known as apc-5, encoding a distant homolog of the human anaphase promoting complex subunit APC5, but is most closely related to its C. elegans paralog Y66D12A.17; gfi-3(RNAi) animals are generally unable to progress through meiotic divisions; initially they produce reduced numbers of viable embryos mixed with inviable embryos, but then show severe germline maintenance defects and become sterile. ",Unnamed protein ,Mountain 5,294,61,3.0,557,37,4.94,785,44,21.69,58,8,7.75,133,1,72.92,25,16,1.09,24,21,1.07,34,37,0.9,26,43,0.76,13,14,0.58,25,9,3.14,M163.4,WBGene00001583,Sequence name for WBGene00001583(gfi-3). History: N.A.
H04J21.3b,gip-1,161,50,218,206,496,692,"gip-1 encodes the C. elegans homolog of Saccharomyces cerevisiae Spc98p, a gamma-tubulin-binding protein that with Spc97p forms part of a gamma-tubulin ring complex that can nucleate microtubule formation in vitro and in vivo; in C. elegans, GIP-1 is essential for embryogenesis and required for formation of centrosomal asters during interphase and formation of the mitotic spindle, but not for formation of mitotic asters; GIP-1 colocalizes with TBG-1/gamma-tubulin to centrosomes during interphase and mitosis; GIP-1 and TBG-1 are required reciprocally for centrosomal localization. ",,Mountain 11,74,4,9.47,114,7,4.83,153,1,95.63,13,0,16.54,42,0,46.8,72,49,1.04,146,157,0.88,178,245,0.71,146,256,0.71,110,96,0.71,62,95,0.79,H04J21.3b,WBGene00001589,Molecule name for WBGene00001589(gip-1). History: N.A.
T23G11.3,gld-1,25,23,664,386,2043,1909,"gld-1 encodes a protein containing a K homology RNA binding domain that is required for meiotic cell cycle progression during oogenesis in parallel with gld-2, and also affects spermatogenesis; it physically interacts with its putative mRNA targets in vitro and with FOG-2, and is expressed in the cytoplasm at high levels during meiotic prophase. ",RNA-binding protein Sam68 and related KH domain proteins ,Mountain 7,110,10,6.37,327,3,27.57,181,4,45.21,15,0,18.9,66,5,12.15,172,73,1.67,492,313,1.48,927,746,1.22,697,857,1.01,192,148,0.8,227,158,1.73,T23G11.3,WBGene00001595,Sequence name for WBGene00001595(gld-1). History: N.A.
T07F8.3a,gld-3,6,9,134,67,806,1215,"gld-3 encodes two KH domain-containing RNA-binding proteins, GLD-3L and GLD-3S, that are homologous to Drosophila Bicaudal-C; gld-3 activity is required for two aspects of germ line development: the sperm/oocyte and mitosis/meiosis decisions; in regulating the sperm/oocyte switch, GLD-3L acts by binding and negatively regulating FBF's regulatory interaction with the fem-3 3'UTR; in regulating the mitosis/meiosis decision, GLD-3 functions with GLD-2, the catalytic subunit of a poly (A) polymerase, and in parallel to GLD-1 and NOS-3, to positively regulate entry into meiosis as germ cells move away from the distal, mitotic region of the gonad; in contrast to the sperm/oocyte decision, gld-3 functions downstream of FBFs, which bind specifically to elements in the gld-3S 3'-UTR to regulate GLD-3 expression, in the mitosis/meiosis decision; gld-3 activity is also required for germline survival and early embryogenesis; GLD-3 is a cytoplasmic protein that is found in the early embryo and in the germline throughout development in both sexes; in the early embryo, GLD-3 is also seen in cytoplasmic particles, some of which are coincident with P granules. ",Unnamed protein ,Mountain 7,92,16,3.45,241,3,20.34,145,7,22.67,31,3,9.45,55,1,30.47,11,21,0.39,123,46,2.48,296,469,0.62,254,564,0.56,158,74,1.31,98,108,1.1,T07F8.3a,WBGene00001597,Molecule name for WBGene00001597(gld-3). History: N.A.
T12F5.3,glh-4,194,491,726,2121,2975,7271,"glh-4 encodes a putative germline RNA helicase that affects germline proliferation, oogenesis, spermatogenesis, and hence fertility in combination with glh-1, and is partially redundant with glh-1; glh-4 is a constituent of P granules and expression is most abundant in newly fertilized embryos. ",ATP-dependent RNA helicase ,,783,25,19.03,1126,20,18.04,1066,12,101.94,73,1,43.71,446,8,54.06,271,338,0.57,455,1783,0.24,1287,2868,0.44,1044,3012,0.43,446,615,0.45,198,776,0.31,T12F5.3,WBGene00001601,Sequence name for WBGene00001601(glh-4). History: N.A.
F55D10.3,glit-1,80,61,99,61,80,110,,Carboxylesterase and related proteins ,Mountain 5,307,27,6.94,220,17,4.13,786,44,21.72,10,0,13.0,161,10,16.03,20,26,0.55,79,35,2.09,36,46,0.77,26,45,0.73,12,7,1.01,6,12,0.65,F55D10.3,WBGene00018878,Sequence name for WBGene00018878(glit-1). History: Renamed on 2019-05-20
Y53C12A.2,glt-5,25,11,27,21,5,15,glt-5 encodes an ortholog of glutamate/aspartate and neutral amino acid transporters. ,Glutamate/aspartate and neutral amino acid transporters ,Mountain 8,28,164,0.11,95,231,0.14,69,762,0.11,8,49,0.21,7,87,0.1,0,4,0.14,27,17,1.46,2,5,0.49,1,10,0.22,1,0,1.24,1,0,2.41,Y53C12A.2,WBGene00001623,Sequence name for WBGene00001623(glt-5). History: N.A.
F13D12.7,gpb-1,1362,466,1046,889,695,984,"gpb-1 encodes a heterotrimeric G protein beta subunit that is required during embryonic development for the proper orientation of the mitotic spindle during early cell divisions and thus affects the orientation of early cell division axes, and is also required for larval viability, negatively regulates locomotion and egg-laying, and may affect germline development and osmotic balance; expressed in early embryos with highest expression at cell membranes and colocalizes with asters just before and during early cell divisions (this localization is dependent upon G alpha subunits); adults display high levels of expression in neurons with lower expression in the somatic gonad, vulva, and hypodermal seam cells and expression is also detected in the intestine, pharynx, body wall muscles and in the germline. ",G-protein beta subunit ,Mountain 1,94,12,4.61,257,19,4.34,362,9,45.08,96,14,7.64,84,7,11.56,435,300,1.03,611,589,0.98,294,409,0.71,260,416,0.77,83,56,0.91,58,103,0.68,F13D12.7,WBGene00001679,"Sequence name for WBGene00001679(gpb-1). History: Split into F44E5.17(WBGene00303054). History of WBGene00001679: Split into ""WBGene00303054"" on 2018-03-02"
K11H3.1b,gpdh-2,545,390,670,613,855,1341,"gpdh-2 encodes one of two C. elegans glycerol 3-phosphate dehydrogenases; although loss of gpdh-2 activity via large-scale RNAi screens results in no obvious defects, expression of a gpdh-2 cDNA in Saccharomyces cerevisiae hog1 mutants is able to rescue the high osmolarity-sensitive growth phenotype of these mutants, suggesting that gpdh-2 encodes a functional glycerol 3-phosphate dehydrogenase. ",Glycerol-3-phosphate dehydrogenase/dihydroxyacetone 3-phosphate reductase ,Mountain 2,82,9,5.24,151,7,6.39,103,4,25.83,121,6,20.59,49,0,54.42,190,301,0.45,480,312,1.45,304,497,0.6,237,480,0.61,188,146,0.8,126,218,0.7,K11H3.1b,WBGene00010778,Molecule name for WBGene00010778(gpdh-2). History: N.A.
F29F11.6,gsp-1,703,157,741,575,786,1039,,"Serine/threonine specific protein phosphatase PP1, catalytic subunit ",Mountain 5,60,3,9.62,167,2,18.83,260,6,46.31,22,0,27.17,50,7,6.94,162,155,0.75,579,420,1.3,322,427,0.74,269,454,0.73,104,70,0.91,91,88,1.25,F29F11.6,WBGene00001747,Sequence name for WBGene00001747(gsp-1). History: N.A.
F56C9.1,gsp-2,792,231,983,632,1209,1902,,"Serine/threonine specific protein phosphatase PP1, catalytic subunit ",Mountain 1,134,4,17.04,267,8,10.01,224,7,34.93,36,2,14.57,78,3,21.5,266,223,0.85,717,409,1.65,462,776,0.58,350,841,0.52,207,128,1.0,190,157,1.46,F56C9.1,WBGene00001748,Sequence name for WBGene00001748(gsp-2). History: N.A.
Y46G5A.31,gsy-1,1012,252,1017,729,2132,2469,"gsy-1 is orthologous to the human gene GLYCOGEN SYNTHASE 1 (GYS1; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=138570"">OMIM:138570</a>); deficiencies of GYS1 may be associated with susceptibility to type 2 diabetes. ",Glycogen synthase ,Mountain ,37,5,4.0,66,6,3.22,125,3,39.12,24,2,9.85,40,0,44.62,423,203,1.48,594,526,1.06,984,928,1.04,704,968,0.9,291,160,1.12,153,413,0.45,Y46G5A.31,WBGene00001793,Sequence name for WBGene00001793(gsy-1). History: N.A.
H02I12.1,H02I12.1,75,24,639,728,12647,11213,"cbd-1 encodes a large (1319-residue) protein with 12 chitin-binding peritrophin-A domains; cbd-1(RNAi) animals have an osmotically-sensitive embryonic lethal phenotype, perhaps because of defects in chitin and eggshell synthesis; like CEJ-1 and CPG-2, CBD-1 may participate in eggshell synthesis and early embryonic development; CBD-1's multiple peritrophin-A domains might enable mechanical cross-linking of chitin. ",Unnamed protein ,Mountain 7,90,6,8.2,166,1,28.08,139,4,34.77,19,0,23.63,80,5,14.69,208,99,1.49,431,629,0.65,5218,4433,1.15,4240,4686,1.12,1853,918,1.25,1336,1176,1.37,H02I12.1,WBGene00010351,Sequence name for WBGene00010351(cbd-1). History: N.A.
H02I12.5,H02I12.5,8,0,54,56,1054,2387,,Unnamed protein ,Mountain 7,25,1,8.2,48,1,8.24,113,7,17.7,18,0,22.45,59,5,10.88,20,4,3.0,34,52,0.62,451,944,0.47,329,925,0.44,141,253,0.35,133,265,0.61,H02I12.5,WBGene00010353,Sequence name for WBGene00010353(memi-3). History: N.A.
H05L14.2,H05L14.2,84,37,262,184,762,1042,,,Mountain 7,68,13,3.11,120,8,4.52,197,13,17.56,10,0,13.0,77,3,21.22,87,34,1.79,175,150,1.1,322,384,0.82,251,462,0.67,125,91,0.85,64,105,0.74,H05L14.2,WBGene00010367,"Public name for WBGene00010367. History: Split into H05L14.3(WBGene00271605). History of WBGene00010367: Split into ""WBGene00271605"" on 2017-03-02"
H20J04.2,H20J04.2,200,93,384,276,1223,1231,,"Chromatin remodeling complex WSTF-ISWI, large subunit (contains heterochromatin localization, PHD and BROMO domains) ",Mountain 11,83,11,4.42,244,12,6.34,171,12,16.43,17,0,21.27,45,15,3.13,145,67,1.53,239,209,1.08,589,443,1.3,425,462,1.14,123,154,0.49,86,172,0.61,H20J04.2,WBGene00019217,Sequence name for WBGene00019217(athp-2). History: N.A.
H28O16.2,H28O16.2,100,39,162,167,675,329,,,Mountain 5,47,2,10.1,74,2,8.41,111,4,27.82,15,0,18.9,32,0,35.92,15,41,0.27,147,126,1.1,306,132,2.26,228,120,2.34,97,32,1.84,44,45,1.18,H28O16.2,WBGene00010420,Sequence name for WBGene00010420(mcrs-1). History: N.A.
H34C03.2,H34C03.2,273,107,538,400,1148,1535,,Ubiquitin C-terminal hydrolase ,Mountain 5,82,9,5.24,252,7,10.63,246,2,102.25,29,1,17.72,68,1,37.55,144,98,1.04,394,302,1.23,487,620,0.77,397,665,0.74,151,91,1.02,113,159,0.86,H34C03.2,WBGene00019259,Public name for WBGene00019259. History: N.A.
H37A05.1,H37A05.1,718,115,1180,925,1326,2113,"lpin-1 encodes a putative phosphatidic acid phosphatase orthologous to budding yeast PAH1 and human LPIN1 (<a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=605518"">OMIM:605518</a>), LPIN2 (OMIM:605519, mutated in Majeed syndrome), and LPIN3 (OMIM:605520); lpin-1 is expressed in vulval muscle; in mass RNAi assays, lpin-1 is required for the osmotic integrity of eggs and for normal larval growth, body thickness, locomotion, and fertility; by orthology, LPIN-1 is expected to be dephosphorylated by SCPL-2. ",Protein involved in plasmid maintenance/nuclear protein involved in lipid metabolism ,Mountain 25,55,9,3.53,146,6,7.06,234,19,14.59,23,6,4.05,95,8,11.61,337,219,1.1,843,706,1.12,614,870,0.69,441,839,0.65,156,202,0.48,115,202,0.69,H37A05.1,WBGene00010425,Sequence name for WBGene00010425(lpin-1). History: N.A.
C46A5.9,hcf-1,311,58,463,374,1853,1539,"hcf-1 encodes the C. elegans ortholog of human host cell factor (HCF-1), a transcriptional regulator that associates with histone modification enzymes and plays a role in cell cycle progression; in C. elegans, hcf-1 plays a role in regulation of cell division and mitotic histone modification; in addition, HCF-1 functions in determination of adult lifespan as a negative regulator of DAF-16, with which it physically interacts; HCF-1 is a ubiquitously expressed protein that localizes to the nucleus. ",Host cell transcription factor HCFC1 ,,63,6,5.77,169,2,19.05,189,5,39.33,28,9,3.43,43,0,47.89,125,65,1.36,338,309,1.03,767,527,1.43,663,595,1.38,217,152,0.88,206,265,0.94,C46A5.9,WBGene00001827,Sequence name for WBGene00001827(hcf-1). History: N.A.
ZK1055.1,hcp-1,196,49,727,582,2962,4214,hcp-1 encodes a homolog of the mammalian centromere protein-F (CENP-F) and is involved in mitotic chromosome segregation; hcp-1 functions in an ordered pathway consisting of two other CENP proteins encoded by hcp-3 and hcp-4 to control assembly of the kinetochore; hcp-1 localization to the kinetochore is dependent on hcp-3 and hcp-4. ,Unnamed protein ,Mountain 11,169,16,6.31,240,4,16.21,368,1,229.14,45,7,6.79,129,3,35.37,193,108,1.27,534,474,1.06,1167,1603,0.71,1066,1685,0.78,454,501,0.56,275,425,0.78,ZK1055.1,WBGene00001829,Sequence name for WBGene00001829(hcp-1). History: N.A.
F58A4.3,hcp-3,19,15,97,129,634,2160,"The hcp-3 gene encodes a centromere protein (CENP)-A homolog required for kinetochore function; inactivation of hcp-3 in one-cell embryos by RNAi causes a complete loss of kinetochores, with total failure of chromosomes to segregate properly during mitosis, to recruit components to the kinetochore other than HCP-3, or to assemble a stable mitotic spindle; in addition, HCP-4 fails to localize properly to the kinetochore in hcp-3(RNAi) embryos. ",Histones H3 and H4 ,Mountain 7,95,7,7.57,189,4,12.78,156,4,39.0,10,0,13.0,90,0,99.04,15,25,0.44,82,104,0.74,248,943,0.26,179,867,0.26,124,131,0.59,83,219,0.46,F58A4.3,WBGene00001831,Sequence name for WBGene00001831(hcp-3). History: N.A.
T03F1.9,hcp-4,186,78,576,627,1969,3348,"The hcp-4 gene encodes a centromere protein (CENP)-C homolog, holocentric protein (HCP)-4. ",Unnamed protein ,Mountain 11,204,10,11.76,283,2,31.83,254,5,52.78,15,1,9.45,156,2,56.96,190,114,1.18,386,513,0.71,833,1217,0.67,696,1274,0.68,262,385,0.42,178,472,0.46,T03F1.9,WBGene00001832,Sequence name for WBGene00001832(hcp-4). History: Renamed on 2015-03-05
Y110A7A.1b,hcp-6,483,71,645,626,3185,2330,"hcp-6 encodes a HEAT motif-containing protein that displays similarity to the XCAP-D2/CNAP1/Cnd1/YCS4 family of proteins that are homologous to the condensin complex subunit 1; HCP-6 activity is required during mitosis for some aspects of mitotic chromosome condensation, attachment of microtubules to kinetochores, mitotic chromosome alignment, and mitotic sister chromatid segregation; during interphase, HCP-6 is detectable in a punctate pattern in the nucleoplasm; at prophase, HCP-6 becomes associated with condensed chromosomes, colocalizing with the centromeric component HCP-3; HCP-6 localization to chromosomes depends upon the activity of HCP-3 and HCP-4, a C. elegans CENP-C-like protein. ",Uncharacterized conserved protein related to condensin complex subunit 1 , ,203,12,9.9,294,8,11.02,249,8,34.5,10,0,13.0,112,6,17.57,191,107,1.27,454,519,0.82,1338,783,1.67,1098,798,1.7,516,355,0.9,233,394,0.71,Y110A7A.1b,WBGene00001833,Molecule name for WBGene00001833(hcp-6). History: Renamed on 2015-03-05; Renamed on 2015-03-05
C07G1.5,hgrs-1,298,90,475,347,916,1375,"hgrs-1 encodes a VHS and FYVE zinc finger-domain containing protein that is the C. elegans ortholog of S. cerevisiae Vps27p and mammalian hepatocyte growth factor-regulated tyrosine kinase substrate (HGS); hgrs-1 activity is essential for molting and thus for proper larval development; consistent with its proposed role in the endocytic pathway, HGRS-1 is also required for proper trafficking of the LRP-1 low-density lipoprotein receptor-related protein 1 and for endosome maturation and regulation of autophagic vesicle accumulation; an HGRS-1::GFP fusion protein is widely expressed, but particularly enriched in epithelial cells; within cells, HGRS-1::GFP localizes to endosomal membranes. ","Membrane trafficking and cell signaling protein HRS, contains VHS and FYVE domains ",Mountain 5,52,0,33.45,98,0,33.29,102,1,63.96,19,0,23.63,24,4,5.44,66,79,0.6,409,268,1.43,349,470,0.73,268,494,0.67,221,204,0.67,78,207,0.46,C07G1.5,WBGene00004101,Sequence name for WBGene00004101(hgrs-1). History: Renamed on 2008-01-18
F28B3.7a,him-1,632,209,1240,868,3158,4582,"him-1 encodes a homolog of the conserved eukaryotic protein, SMC1, a member of the SMC (structural maintenance of chromosomes) superfamily that is required for embryonic viability, germline mitosis, chromosome pairing, and the segregation of mitotic chromosomes; HIM-1 can interact with SMC-3 and is required for DPY-28 localization to meiotic chromosomes; associates with the chromatin of transition-zone nuclei. ",,Mountain 2,119,6,10.82,210,2,23.65,151,9,18.88,26,6,4.56,55,3,15.24,331,214,1.1,909,654,1.31,1206,1619,0.73,994,1753,0.7,673,631,0.66,285,579,0.59,F28B3.7a,WBGene00001860,Molecule name for WBGene00001860(him-1). History: N.A.
W05B10.1,his-74,18,14,121,65,367,610,,Histones H3 and H4 ,Mountain 7,50,0,32.18,214,0,72.29,99,0,124.2,59,0,70.89,52,9,5.77,15,18,0.6,106,47,2.1,137,250,0.54,105,273,0.48,51,52,0.61,74,35,2.51,W05B10.1,WBGene00012276,Sequence name for WBGene00012276(his-74). History: N.A.
W02C12.3b,hlh-30,298,87,258,141,93,94,"hlh-30 encodes the C. elegans ortholog of human TRANSCRIPTION FACTOR BINDING TO IGHM ENHANCER 3 (TFE3; <a href=""http://www.ncbi.nlm.nih.gov/entrez/dispomim.cgi?id=314310"">OMIM:314310</a>), that functions as a transcriptional activator of metabolic genes and which when mutated leads to disease; loss of hlh-30 activity via RNAi results in reduced fat storage; HLH-30 demonstrates sequence-specific DNA binding for the E box sequence CACGTG and likely binds DNA as a homodimer; expression profiles of hlh-30 mutants indicate that, like its human ortholog, HLH-30 regulates expression of genes involved in metabolism; an hlh-30 promoter fusion is strongly expressed in the intestine and weakly in other tissues, such as the spermatheca and vulva. ",Helix loop helix transcription factor EB ,Mountain 1,168,6,15.24,537,2,60.3,410,4,102.09,333,48,8.05,174,9,19.05,93,42,1.56,165,99,1.56,37,33,1.1,24,45,0.67,26,3,4.17,6,13,0.6,W02C12.3b,WBGene00020930,Molecule name for WBGene00020930(hlh-30). History: N.A.
C32F10.5,hmg-3,101,33,562,581,2051,2335,,"Nucleosome-binding factor SPN, POB3 subunit ",Mountain 7,115,11,6.1,487,5,27.35,265,1,165.18,140,10,15.14,61,14,4.5,148,114,0.92,414,467,0.83,770,918,0.82,618,967,0.79,447,177,1.56,216,273,0.96,C32F10.5,WBGene00001973,Sequence name for WBGene00001973(hmg-3). History: N.A.
Y39A1A.23,hpr-9,35,5,73,55,127,294,,"Checkpoint 9-1-1 complex, RAD9 component ",,30,4,3.91,53,1,9.08,62,2,26.08,17,0,21.27,34,0,38.09,11,13,0.61,62,42,1.38,46,108,0.42,30,129,0.29,30,27,0.68,21,30,0.86,Y39A1A.23,WBGene00001997,Sequence name for WBGene00001997(hpr-9). History: N.A.
F58D5.1,hrp-2,3701,1690,2479,2600,5118,3456,,Heterogeneous nuclear ribonucleoprotein R (RRM superfamily) , ,56,10,3.27,67,1,11.43,200,3,62.41,22,0,27.17,35,2,13.06,994,517,1.37,1485,2083,0.67,2059,1262,1.6,1674,1184,1.75,918,462,1.23,467,548,1.03,F58D5.1,WBGene00002000,Sequence name for WBGene00002000(hrpr-1). History: Renamed on 2019-11-21
K08E7.2,hsb-1,33,14,59,39,69,226,,Heat shock factor binding protein ,Mountain 2,31,3,5.05,147,3,12.44,77,1,48.44,76,1,45.49,42,0,46.8,3,13,0.2,56,26,1.99,26,102,0.26,18,94,0.25,15,20,0.47,10,10,1.21,K08E7.2,WBGene00002002,Sequence name for WBGene00002002(hsb-1). History: N.A.
C37H5.8,hsp-6,3063,1106,2350,2031,3580,5571,"hsp-6 encodes a mitochondrial-specific chaperone that is a member of the DnaK/Hsp70 superfamily of molecular chaperones; hsp-6 is believed to be involved in the mitochondrial unfolded protein response, as hsp-6 expression, normally broadly detected from the L1 larval through adult stages of development, is greatly increased in response to treatments that disrupt mitochondrial protein handling; loss of hsp-6 activity via RNAi results in severe growth defects with arrest at embryonic and early larval stages of development; loss of hsp-6 via RNAi in young adult hermaphrodites results in abnormal mitochondrial membrane potential and morphology, accompanied by reduction of ATP levels and reduced levels of mitochondrial proteins ATP-2, HSP-60, and CLK-1; in addition, hsp-6(RNAi) of adults disrupts gonadal function, motility, and pharyngeal pumping, as well as resulting in reduced lifespan; an HSP-6::GFP fusion protein localizes to mitochondria; HSP-6 levels are markedly reduced in aged worms. ","Molecular chaperones mortalin/PBP74/GRP75, HSP70 superfamily ",Mountain 5,85,14,3.62,164,6,7.93,132,44,3.67,17,0,21.27,43,14,3.19,740,499,1.06,1610,1532,0.99,1420,2211,0.63,1145,2241,0.63,596,527,0.7,419,592,0.85,C37H5.8,WBGene00002010,Sequence name for WBGene00002010(hsp-6). History: N.A.
