# Table S3. Peptide counts for proteins identified by MudPIT analyses of GFP IP from N2 and gfp::rde-8 lysates. Related to Figure 3
Accession,Peptide counts in N2,Peptide counts in GFP::RDE-8(+),Description,Input,Suggested Match,History
E01G4.4,2.0,0.0,CE40553 WBGene00004116 locus:pqn-27 status:Partially_confirmed TR:O02238 protein_id:CAB05716.2,E01G4.4,WBGene00004116,Sequence name for WBGene00004116(pqn-27). History: N.A.
C18E3.7a,2.0,0.0,CE27715 WBGene00004093 locus:ppw-1 status:Partially_confirmed TR:O02095 protein_id:AAB52946.2,,,
F56H1.7,2.0,0.0,CE41412 WBGene00045483 status:Confirmed,F56H1.7,WBGene00045483,Sequence name for WBGene00045483(oxy-5). History: N.A.
F45H10.1,2.0,0.0,CE10542 WBGene00000113 locus:alh-7 succinate semi-aldehyde dehydrogenase status:Partially_confirmed TR:O02266 protein_id:CAB04383.1,F45H10.1,WBGene00000113,Sequence name for WBGene00000113(alh-7). History: N.A.
F56C9.1,2.0,0.0,CE01319 WBGene00001748 locus:gsp-2 status:Confirmed SW:P48727 protein_id:AAK18957.1,F56C9.1,WBGene00001748,Sequence name for WBGene00001748(gsp-2). History: N.A.
F53F1.2,2.0,39.0,CE10934 WBGene00009980 aldehyde reductase status:Confirmed TR:P91997 protein_id:CAB03127.1,F53F1.2,WBGene00009980,Public name for WBGene00009980. History: N.A.
K12H4.7a,2.0,26.0,CE32696 WBGene00019682 status:Confirmed SW:P34528 protein_id:AAN65310.1,,,
H22K11.1,4.0,40.0,CE19495 WBGene00000216 locus:asp-3 aspartyl protease status:Confirmed SW:P55956 protein_id:AAK39240.1,H22K11.1,WBGene00000216,Sequence name for WBGene00000216(asp-3). History: N.A.
C18A3.5e,2.0,20.0,CE32130 WBGene00015943 status:Confirmed TR:Q8IG50 protein_id:AAN63456.1,,,
C47D12.6a,5.0,45.0,CE05434 WBGene00006617 locus:trs-1 threonyl-tRNA synthetase (mitochondrial) status:Confirmed SW:P52709 protein_id:CAA93762.1,C47D12.6a,WBGene00006617,Molecule name for WBGene00006617(tars-1). History: Renamed on 2010-01-29
W03D2.4,2.0,18.0,CE37726 WBGene00003955 locus:pcn-1 cyclin status:Confirmed SW:O02115 protein_id:AAC48257.2,W03D2.4,WBGene00003955,Sequence name for WBGene00003955(pcn-1). History: N.A.
W06H8.1b,3.0,18.0,CE25147 WBGene00004373 locus:rme-1 status:Confirmed TR:Q9N5B8 protein_id:AAF39979.1,W06H8.1b,WBGene00004373,Molecule name for WBGene00004373(rme-1). History: N.A.
Y19D10B.7,4.0,22.0,CE25224 WBGene00021236 status:Predicted TR:Q9N565 protein_id:AAF59424.1,Y19D10B.7,WBGene00021236,Sequence name for WBGene00021236(pud-1.2). History: N.A.
K12G11.3,3.0,16.0,CE12212 WBGene00010790 locus:sodh-1 alcohol dehydrogenase status:Confirmed SW:Q17334 protein_id:CAB04604.1,K12G11.3,WBGene00010790,Sequence name for WBGene00010790(adh-1). History: Renamed on 2004-08-25; Renamed on 2021-12-09
Y43F8C.20,44.0,229.0,CE35086 WBGene00012840 locus:grsp-1 status:Partially_confirmed TR:Q7YWQ8 protein_id:CAE17998.1,Y43F8C.20,WBGene00012840,Sequence name for WBGene00012840(grsp-1). History: N.A.
B0280.5,5.0,26.0,CE31868 WBGene00015102 locus:cpg-2 status:Confirmed SW:P41996 protein_id:AAA19083.3,B0280.5,WBGene00015102,Sequence name for WBGene00015102(cpg-2). History: N.A.
Y92C3B.2a,9.0,45.0,CE27339 WBGene00006697 locus:uaf-1 status:Confirmed SW:P90978 protein_id:AAK29989.1,Y92C3B.2a,WBGene00006697,Molecule name for WBGene00006697(uaf-1). History: N.A.
C18A3.5a,5.0,25.0,CE27708 WBGene00015943 RNA binding protein status:Confirmed TR:Q95QV8 protein_id:AAK68191.1,C18A3.5a,WBGene00015943,Molecule name for WBGene00015943(tiar-1). History: N.A.
C06E7.3b,2.0,9.0,CE33517 WBGene00015540 status:Partially_confirmed TR:Q86NI4 protein_id:AAO44916.1,C06E7.3b,WBGene00015540,Molecule name for WBGene00015540(sams-4). History: N.A.
Y105C5B.12b,2.0,9.0,CE32229 WBGene00013652 status:Partially_confirmed TR:Q8I4F2 protein_id:CAB54357.1,,,
T01C8.5,4.0,18.0,CE07462 WBGene00020146 aminotransferase status:Confirmed SW:Q22067 protein_id:AAB00578.1,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
F01G4.2,3.0,13.0,CE03127 WBGene00000181 locus:ard-1 short-chain alcohol dehydrogenase status:Confirmed TR:Q19102 protein_id:CAA92764.1,F01G4.2,WBGene00000181,Sequence name for WBGene00000181(ard-1). History: N.A.
F29F11.1,4.0,17.0,CE05767 WBGene00005022 locus:sqv-4 UDP-glucose dehydrogenase status:Confirmed SW:Q19905 protein_id:CAA98269.1,F29F11.1,WBGene00005022,Sequence name for WBGene00005022(sqv-4). History: N.A.
Y57G11C.10b,5.0,21.0,CE39445 WBGene00001558 locus:gdi-1 status:Partially_confirmed TR:Q2V4S2 protein_id:CAJ44242.1,Y57G11C.10b,WBGene00001558,Molecule name for WBGene00001558(gdi-1). History: N.A.
Y37A1B.5,2.0,8.0,CE19075 WBGene00012538 status:Confirmed TR:Q9XXF9 protein_id:CAA19490.1,Y37A1B.5,WBGene00012538,Sequence name for WBGene00012538(semo-1). History: N.A.
F38H4.9,3.0,12.0,CE10074 WBGene00002363 locus:let-92 serine\/threonine protein phosphatase status:Confirmed TR:Q27498 protein_id:CAB01174.1,F38H4.9,WBGene00002363,Sequence name for WBGene00002363(let-92). History: N.A.
Y87G2A.5,4.0,15.0,CE24685 WBGene00006936 locus:vrs-2 status:Confirmed SW:Q9U1Q4 protein_id:CAB60428.1,Y87G2A.5,WBGene00006936,Sequence name for WBGene00006936(glp-4). History: Renamed on 2010-01-29; Renamed on 2015-10-07
F45E4.2,3.0,11.0,CE10494 WBGene00004046 locus:plp-1 status:Confirmed TR:Q94230 protein_id:AAK29814.1,F45E4.2,WBGene00004046,Sequence name for WBGene00004046(plp-1). History: N.A.
T05E11.3,6.0,22.0,CE06362 WBGene00011480 endoplasmin precursor (GRP94) status:Confirmed TR:Q22235 protein_id:CAA92973.1,T05E11.3,WBGene00011480,Sequence name for WBGene00011480(enpl-1). History: N.A.
C06E7.3a,3.0,11.0,CE03959 WBGene00015540 S-adenosylmethionine synthetase status:Partially_confirmed SW:P50306 protein_id:AAA82279.1,C06E7.3a,WBGene00015540,Molecule name for WBGene00015540(sams-4). History: N.A.
T25G12.5,3.0,11.0,CE18284 WBGene00020812 acyl-CoA dehydrogenase status:Confirmed TR:Q22781 protein_id:AAC69025.1,T25G12.5,WBGene00020812,Sequence name for WBGene00020812(acdh-7). History: N.A.
M117.2,17.0,62.0,CE06200 WBGene00003920 locus:par-5 14-3-3 protein status:Confirmed SW:P41932 protein_id:CAA98138.1,M117.2,WBGene00003920,Sequence name for WBGene00003920(par-5). History: N.A.
M18.6,7.0,25.0,CE35592 WBGene00010891 status:Partially_confirmed TR:Q21558 protein_id:CAA92828.2,M18.6,WBGene00010891,Public name for WBGene00010891. History: N.A.
T08G2.3,2.0,7.0,CE07473 WBGene00020366 acyl-CoA dehydrogenase status:Confirmed SW:Q22347 protein_id:AAB52493.1,T08G2.3,WBGene00020366,Sequence name for WBGene00020366(acdh-10). History: N.A.
F40F4.3,4.0,14.0,CE04533 WBGene00002253 locus:lbp-1 fatty acid-binding protein status:Confirmed SW:Q20223 protein_id:AAA81434.1,F40F4.3,WBGene00002253,Sequence name for WBGene00002253(lbp-1). History: N.A.
B0303.3,2.0,7.0,CE00561 WBGene00015125 Acetyl-coa acetyltransferase status:Confirmed SW:P34255 protein_id:AAA27897.2,B0303.3,WBGene00015125,Public name for WBGene00015125. History: N.A.
T05H4.6,2.0,7.0,CE13279 WBGene00020269 eukaryotic peptide chain release factor subunit 1 status:Confirmed SW:O16520 protein_id:AAB66012.1,T05H4.6,WBGene00020269,Sequence name for WBGene00020269(erfa-1). History: Renamed on 2013-11-11
C34E10.6,6.0,21.0,CE29950 WBGene00000229 locus:atp-2 ATP synthase beta chain status:Confirmed SW:P46561 protein_id:AAA19068.2,C34E10.6,WBGene00000229,Sequence name for WBGene00000229(atp-2). History: N.A.
F57B9.6b,5.0,17.0,CE38524 WBGene00002083 locus:inf-1 status:Confirmed SW:P27639 protein_id:AAX88826.1,F57B9.6b,WBGene00002083,Molecule name for WBGene00002083(inf-1). History: N.A.
D1005.1,3.0,10.0,CE06997 WBGene00016995 ATP citrate lyase status:Partially_confirmed SW:P53585 protein_id:AAB00585.1,D1005.1,WBGene00016995,Sequence name for WBGene00016995(acly-1). History: N.A.
F58B3.1,4.0,13.0,CE06003 WBGene00003093 locus:lys-4 status:Confirmed TR:Q20964 protein_id:CAA97797.1,F58B3.1,WBGene00003093,Sequence name for WBGene00003093(lys-4). History: N.A.
C16A3.10b,5.0,16.0,CE30604 WBGene00015814 status:Confirmed TR:Q8MNV6 protein_id:AAM22027.1,,,
B0205.7,5.0,16.0,CE17321 WBGene00002191 locus:kin-3 casein kinase status:Confirmed SW:P18334 protein_id:AAC16993.1,B0205.7,WBGene00002191,Sequence name for WBGene00002191(kin-3). History: N.A.
Y38A10A.5,25.0,76.0,CE21562 WBGene00000802 locus:crt-1 calreticulin precursor status:Confirmed SW:P27798 protein_id:AAD14746.1,Y38A10A.5,WBGene00000802,Sequence name for WBGene00000802(crt-1). History: N.A.
F41C3.5,3.0,9.0,CE02733 WBGene00018271 Serine carboxypeptidase status:Confirmed SW:P52717 protein_id:AAC46812.1,F41C3.5,WBGene00018271,Sequence name for WBGene00018271(ctsa-1.1). History: N.A.
F11G11.2,3.0,9.0,CE07055 WBGene00001755 locus:gst-7 glutathione S-transferase status:Confirmed SW:P91253 protein_id:AAB37846.1,F11G11.2,WBGene00001755,Sequence name for WBGene00001755(gst-7). History: N.A.
T03F6.1,2.0,6.0,"CE16335 WBGene00011398 locus:qdpr-1 Alcohol\/other dehydrogenases, short chain type status:Confirmed TR:Q9XVJ3 protein_id:CAB03278.1",T03F6.1,WBGene00011398,Sequence name for WBGene00011398(qdpr-1). History: N.A.
C14F11.1a,10.0,30.0,CE02477 WBGene00015778 Aspartate aminotransferase status:Confirmed TR:Q17994 protein_id:AAA80361.1,,,
C52E4.1,2.0,6.0,CE31896 WBGene00000781 locus:cpr-1 cathepsin-like cysteine protease status:Confirmed SW:P25807 protein_id:CAB01410.2,C52E4.1,WBGene00000781,Sequence name for WBGene00000781(cpr-1). History: N.A.
R06C7.1,2.0,6.0,CE06244 WBGene00011061 status:Confirmed SW:Q21770 protein_id:CAA95839.1,R06C7.1,WBGene00011061,Sequence name for WBGene00011061(wago-1). History: N.A.
F23C8.5,6.0,18.0,CE29774 WBGene00017734 electron transfer flavoprotein beta status:Confirmed TR:Q9TXI4 protein_id:AAD03129.2,F23C8.5,WBGene00017734,Public name for WBGene00017734. History: N.A.
F02A9.2,7.0,21.0,CE00133 WBGene00001385 locus:far-1 O. volvulus 20Kd antigenic peptide status:Confirmed SW:P34382 protein_id:CAA79616.1,F02A9.2,WBGene00001385,Sequence name for WBGene00001385(far-1). History: N.A.
ZK593.1,2.0,6.0,CE24731 WBGene00014001 pyruvate kinase status:Confirmed TR:Q23539 protein_id:CAA93424.2,ZK593.1,WBGene00014001,Sequence name for WBGene00014001(pyk-2). History: N.A.
R07E5.2,6.0,18.0,CE00657 WBGene00011110 locus:prdx-3 Mer5 (mouse) status:Confirmed SW:Q21824 protein_id:CAA83619.1,R07E5.2,WBGene00011110,Sequence name for WBGene00011110(prdx-3). History: N.A.
Y47G6A.33,3.0,9.0,CE41052 WBGene00045399 status:Confirmed TR:A5A8P5 protein_id:ABQ13057.1,Y47G6A.33,WBGene00045399,Public name for WBGene00045399. History: N.A.
F58B3.5,2.0,6.0,CE06007 WBGene00003415 locus:mrs-1 methionyl-tRNA synthetase status:Partially_confirmed SW:Q20970 protein_id:CAA97803.1,F58B3.5,WBGene00003415,Sequence name for WBGene00003415(mars-1). History: Renamed on 2010-01-29; Renamed on 2015-03-25
T13A10.11b,3.0,9.0,CE31726 WBGene00006416 locus:tag-32 status:Confirmed SW:Q27522 protein_id:AAM97949.1,T13A10.11b,WBGene00006416,Molecule name for WBGene00006416(sams-5). History: Renamed on 2008-09-10
F57F5.1,3.0,9.0,CE05999 WBGene00010204 cysteine protease status:Partially_confirmed TR:Q20950 protein_id:CAB00098.1,F57F5.1,WBGene00010204,Sequence name for WBGene00010204(cpr-9). History: N.A.
F17E9.11,2.0,6.0,CE07076 WBGene00003099 locus:lys-10 status:Partially_confirmed TR:O61518 protein_id:AAC05110.1,F17E9.11,WBGene00003099,Sequence name for WBGene00003099(lys-10). History: N.A.
F15E11.14,40.0,119.0,CE16999 WBGene00017500 status:Partially_confirmed TR:O44604 protein_id:AAK71362.1,F15E11.14,WBGene00017500,Sequence name for WBGene00017500(pud-2.2). History: N.A.
F44E5.4,9.0,26.0,CE18679 WBGene00009691 Heat shock hsp70 proteins status:Partially_confirmed TR:Q9XTL8 protein_id:CAB05507.1,F44E5.4,WBGene00009691,Public name for WBGene00009691. History: N.A.
Y18D10A.19,9.0,26.0,CE21417 WBGene00001427 locus:fkb-2 FKBP-type peptidyl-prolyl cis-trans isomerases status:Confirmed TR:Q9U2Q8 protein_id:CAA22330.1,Y18D10A.19,WBGene00001427,Sequence name for WBGene00001427(fkb-2). History: N.A.
F01F1.12b,15.0,43.0,CE30646 WBGene00017166 status:Confirmed TR:Q8MNU1 protein_id:AAM22057.1,,,
R07H5.8,13.0,37.0,CE12564 WBGene00011128 adenosine kinase status:Confirmed TR:Q93934 protein_id:CAB03230.1,R07H5.8,WBGene00011128,Sequence name for WBGene00011128(adk-1). History: N.A.
K11H3.1b,4.0,11.0,CE31851 WBGene00010778 locus:gpdh-2 status:Confirmed SW:P34517 protein_id:CAD54146.1,K11H3.1b,WBGene00010778,Molecule name for WBGene00010778(gpdh-2). History: N.A.
T13A10.11a,4.0,11.0,CE30175 WBGene00006416 locus:tag-32 S-adenosylmethionine synthetase status:Confirmed SW:Q27522 protein_id:AAB38126.2,T13A10.11a,WBGene00006416,Molecule name for WBGene00006416(sams-5). History: Renamed on 2008-09-10
C14F11.1b,3.0,8.0,CE30862 WBGene00015778 status:Confirmed TR:Q8MQD9 protein_id:AAM51511.1,,,
F38B2.4,3.0,8.0,CE02218 WBGene00009531 adenylate kinase status:Confirmed SW:Q20140 protein_id:CAA90364.1,F38B2.4,WBGene00009531,Public name for WBGene00009531. History: N.A.
C52E4.2,3.0,8.0,CE08944 WBGene00003235 locus:mif-2 macrophage migration inhibitory factor like protein status:Confirmed SW:Q18785 protein_id:CAB01412.1,C52E4.2,WBGene00003235,Sequence name for WBGene00003235(mif-2). History: N.A.
H19N07.1,3.0,8.0,CE32460 WBGene00010405 elongation factor status:Confirmed TR:O45622 protein_id:CAB07395.2,H19N07.1,WBGene00010405,Sequence name for WBGene00010405(erfa-3). History: N.A.
Y40B10A.1a,15.0,40.0,CE26077 WBGene00021486 locus:lbp-9 status:Partially_confirmed SW:Q965W1 protein_id:AAK70656.1,Y40B10A.1a,WBGene00021486,Molecule name for WBGene00021486(lbp-9). History: N.A.
F43G9.1,8.0,21.0,CE34018 WBGene00009664 isocitrate dehydrogenase status:Confirmed SW:Q93714 protein_id:CAB02111.2,F43G9.1,WBGene00009664,Sequence name for WBGene00009664(idha-1). History: N.A.
R11A5.4c,44.0,115.0,CE36359 WBGene00011232 status:Confirmed TR:Q7JKI3 protein_id:CAF31482.1,R11A5.4c,WBGene00011232,Molecule name for WBGene00011232(pck-2). History: N.A.
R11A5.4b,38.0,99.0,CE36358 WBGene00011232 status:Partially_confirmed TR:Q7JKI1 protein_id:CAF31484.1,R11A5.4b,WBGene00011232,Molecule name for WBGene00011232(pck-2). History: N.A.
F52E4.1a,5.0,13.0,CE07269 WBGene00018701 locus:pccb-1 propionyl-CoA carboxylase beta status:Confirmed TR:Q20676 protein_id:AAB54030.1,F52E4.1a,WBGene00018701,Molecule name for WBGene00018701(pccb-1). History: N.A.
R11A5.4a,45.0,117.0,CE12728 WBGene00011232 phosphoenolpyruvate carboxykinase status:Confirmed TR:O02286 protein_id:CAB05600.1,R11A5.4a,WBGene00011232,Molecule name for WBGene00011232(pck-2). History: N.A.
B0432.2,2.0,5.0,CE07740 WBGene00015184 locus:djr-1.1 status:Confirmed TR:P90994 protein_id:AAB37889.1,B0432.2,WBGene00015184,Sequence name for WBGene00015184(djr-1.1). History: N.A.
Y92C3B.2b,4.0,10.0,CE25626 WBGene00006697 locus:uaf-1 status:Confirmed SW:P90978 protein_id:AAK29990.1,Y92C3B.2b,WBGene00006697,Molecule name for WBGene00006697(uaf-1). History: N.A.
F54D5.12,4.0,10.0,CE26814 WBGene00010055 yeast hyothetical YET1 like protein status:Confirmed TR:Q20777 protein_id:CAB57915.2,F54D5.12,WBGene00010055,Sequence name for WBGene00010055(dhgd-1). History: N.A.
C04G2.9,2.0,5.0,CE40544 WBGene00007308 status:Confirmed TR:Q17633 protein_id:CAA94678.2,C04G2.9,WBGene00007308,Sequence name for WBGene00007308(nsph-3.2). History: N.A.
ZK1307.1b,2.0,5.0,CE35921 WBGene00014244 status:Confirmed TR:Q7JMM1 protein_id:CAE48834.1,ZK1307.1b,WBGene00014244,Molecule name for WBGene00014244(ZK1307.1). History: N.A.
F42G4.3a,4.0,10.0,CE23716 WBGene00006999 locus:zyx-1 LIM domain containing proteins status:Confirmed TR:Q9U3F4 protein_id:CAB03095.2,F42G4.3a,WBGene00006999,Molecule name for WBGene00006999(zyx-1). History: N.A.
F32E10.4,2.0,5.0,"CE20745 WBGene00002074 locus:ima-3 importin alpha, nuclear transport factor status:Confirmed SW:Q19969 protein_id:AAA83354.2",F32E10.4,WBGene00002074,Sequence name for WBGene00002074(ima-3). History: N.A.
K04G7.4b,2.0,5.0,CE31031 WBGene00019401 locus:nuo-4 NADH dehydrogenase status:Confirmed TR:Q8MQ11 protein_id:AAM54175.1,K04G7.4b,WBGene00019401,Molecule name for WBGene00019401(nuo-4). History: N.A.
E02H1.5,2.0,5.0,CE01540 WBGene00008457 status:Confirmed SW:Q09526 protein_id:CAA87380.1,E02H1.5,WBGene00008457,Public name for WBGene00008457. History: N.A.
Y34D9A.6,2.0,5.0,CE25238 WBGene00021331 locus:glrx-10 status:Confirmed TR:Q9N456 protein_id:AAK29881.1,Y34D9A.6,WBGene00021331,Sequence name for WBGene00021331(glrx-10). History: N.A.
B0272.3,2.0,5.0,CE00852 WBGene00007129 3-hydroxyacyl-CoA dehydrogenase status:Confirmed SW:P41938 protein_id:CAA86312.1,B0272.3,WBGene00007129,Public name for WBGene00007129. History: N.A.
C35B1.5,4.0,10.0,CE16903 WBGene00016435 status:Confirmed TR:O45060 protein_id:AAC02564.1,C35B1.5,WBGene00016435,Public name for WBGene00016435. History: N.A.
T23F11.1,2.0,5.0,CE24009 WBGene00011953 phosphatase status:Confirmed SW:P49596 protein_id:CAA86456.2,T23F11.1,WBGene00011953,Sequence name for WBGene00011953(ppm-2). History: N.A.
F25B5.4a,11.0,27.0,CE01921 WBGene00006727 locus:ubq-1 status:Confirmed,,,
F46E10.10b,22.0,54.0,CE33096 WBGene00018491 status:Confirmed TR:Q8IA49 protein_id:AAO12427.1,,,
T13F2.11,17.0,41.0,CE13638 WBGene00003465 locus:msp-78 major sperm protein status:Confirmed SW:Q94053 protein_id:CAB03362.1,T13F2.11,WBGene00003465,Sequence name for WBGene00003465(msp-78). History: N.A.
F21F8.3,5.0,12.0,CE09539 WBGene00000218 locus:asp-5 protease status:Confirmed TR:O01532 protein_id:AAC47991.1,F21F8.3,WBGene00000218,Sequence name for WBGene00000218(asp-5). History: N.A.
C30C11.4,16.0,38.0,CE00103 WBGene00016250 Msi3p status:Confirmed SW:Q05036 protein_id:AAA27967.1,C30C11.4,WBGene00016250,Sequence name for WBGene00016250(hsp-110). History: N.A.
W08E3.3,16.0,38.0,CE14708 WBGene00012344 locus:tag-210 GTP-binding protein like status:Confirmed SW:P91917 protein_id:CAB07131.1,W08E3.3,WBGene00012344,Sequence name for WBGene00012344(ola-1). History: Renamed on 2012-12-21
C47E12.1,6.0,14.0,CE05445 WBGene00005663 locus:srs-2 seryl-tRNA synthetase status:Confirmed SW:Q18678 protein_id:CAA93105.1,C47E12.1,WBGene00005663,Sequence name for WBGene00005663(sars-1). History: Renamed on 2010-01-29
C16A3.10a,9.0,21.0,CE04010 WBGene00015814 ornithine aminotransferse precursor status:Confirmed SW:Q18040 protein_id:AAD31050.2,,,
K11H3.1c,3.0,7.0,CE41431 WBGene00010778 locus:gpdh-2 status:Confirmed,K11H3.1c,WBGene00010778,Molecule name for WBGene00010778(gpdh-2). History: N.A.
F49E12.1,3.0,7.0,CE03378 WBGene00009897 peroxidase status:Partially_confirmed TR:Q20616 protein_id:CAA91388.1,F49E12.1,WBGene00009897,Sequence name for WBGene00009897(skpo-1). History: N.A.
F39B2.10,3.0,7.0,"CE16015 WBGene00001030 locus:dnj-12 DnaJ, prokaryotic heat shock protein status:Confirmed TR:O45502 protein_id:CAB07390.1",F39B2.10,WBGene00001030,Sequence name for WBGene00001030(dnj-12). History: N.A.
F25H5.3b,10.0,23.0,CE15899 WBGene00009126 Pyruvate kinase status:Confirmed TR:O17835 protein_id:CAB02983.1,F25H5.3b,WBGene00009126,Molecule name for WBGene00009126(pyk-1). History: N.A.
T22H2.6b,102.0,231.0,CE24005 WBGene00011936 status:Partially_confirmed TR:Q7JKP2 protein_id:CAB54305.1,T22H2.6b,WBGene00011936,Molecule name for WBGene00011936(pgrn-1). History: N.A.
C45G7.2,39.0,88.0,CE17549 WBGene00016669 locus:ilys-2 status:Partially_confirmed TR:O76358 protein_id:AAC19181.1,C45G7.2,WBGene00016669,Sequence name for WBGene00016669(ilys-2). History: N.A.
B0403.4,4.0,9.0,CE03880 WBGene00015168 locus:tag-320 protein disulfide-isomerase status:Confirmed SW:Q11067 protein_id:AAC47065.1,B0403.4,WBGene00015168,Sequence name for WBGene00015168(pdi-6). History: N.A.
Y24D9A.8b,4.0,9.0,CE30402 WBGene00021286 status:Confirmed TR:Q8T876 protein_id:AAM15613.1,Y24D9A.8b,WBGene00021286,Molecule name for WBGene00021286(tald-1). History: N.A.
H24K24.3b,4.0,9.0,CE29978 WBGene00019240 status:Confirmed SW:Q17335 protein_id:AAL32231.1,H24K24.3b,WBGene00019240,Molecule name for WBGene00019240(adh-5). History: N.A.
K08E3.5d,4.0,9.0,CE29431 WBGene00010665 status:Confirmed TR:Q8WQE5 protein_id:CAD18874.1,K08E3.5d,WBGene00010665,Molecule name for WBGene00010665(rml-1). History: N.A.
C44B12.1,63.0,141.0,CE27850 WBGene00016636 status:Confirmed TR:O44145 protein_id:AAB88324.2,C44B12.1,WBGene00016636,Sequence name for WBGene00016636(perm-2). History: N.A.
F17C11.9a,24.0,53.0,CE05656 WBGene00008920 elongation factor 1-gamma status:Confirmed SW:P54412 protein_id:CAA96631.1,F17C11.9a,WBGene00008920,Molecule name for WBGene00008920(eef-1G). History: N.A.
F01G10.1,63.0,139.0,CE09163 WBGene00008506 transketolase status:Confirmed TR:O17759 protein_id:CAB02889.1,F01G10.1,WBGene00008506,Sequence name for WBGene00008506(tkt-1). History: N.A.
C02B10.1,5.0,11.0,CE16798 WBGene00015326 locus:ivd-1 acyl-CoA dehydrogenase status:Confirmed TR:O44446 protein_id:AAB92016.1,C02B10.1,WBGene00015326,Sequence name for WBGene00015326(ivd-1). History: N.A.
Y24D9A.8a,10.0,22.0,CE28974 WBGene00021286 status:Confirmed TR:Q966C7 protein_id:AAK93861.1,Y24D9A.8a,WBGene00021286,Molecule name for WBGene00021286(tald-1). History: N.A.
C16A3.10c,5.0,11.0,CE37708 WBGene00015814 status:Confirmed TR:Q5TYL8 protein_id:AAV34796.1,,,
F31C3.1,10.0,22.0,CE17730 WBGene00000881 locus:cyn-5 cyclophillin status:Confirmed SW:P52013 protein_id:CAB07192.1,F31C3.1,WBGene00000881,Sequence name for WBGene00000881(cyn-5). History: N.A.
Y75B12B.2,44.0,96.0,CE20371 WBGene00000883 locus:cyn-7 Peptidyl-prolyl cis-trans isomerases status:Confirmed SW:P52015 protein_id:CAA21760.1,Y75B12B.2,WBGene00000883,Sequence name for WBGene00000883(cyn-7). History: N.A.
